Yazici_Modeli,Nozzle_Capi,Katman_Yuksekligi,Nozzle_Sicakligi,Yatak_Sicakligi,Ortam_Sicakligi,Baski_Hizi,Filament_Tipi,Doluluk_Orani,Doluluk_Deseni,Utuleme,Destek_Tipi,Hata_Detayi,Baski_Durumu
Bambu Lab A1 Mini Combo,0.8,0.2,218,43,40,45.0,ASA,7,Gyroid,0,Normal,Warping (Kasa Acik),0
Elegoo Neptune 4 Pro,0.8,0.08,239,62,32,260.0,Recine_UV,28,Gyroid,0,Yok,Basarili,1
Bambu Lab A1 Mini Combo,0.4,0.28,265,64,27,348.0,ABS,23,Cubic,0,Tree,Warping (Kasa Acik),0
Creality K1 Max,0.6,0.12,238,113,53,126.0,Recine_UV,13,Gyroid,1,Tree,Basarili,1
Bambu Lab P1S Combo,0.6,0.2,262,66,42,219.0,TPU,34,Grid,0,Normal,Basarili,1
Bambu Lab P1S Combo,0.4,0.08,250,90,28,381.0,Recine_UV,81,Lightning,0,Normal,Basarili,1
Ender-3 V3 KE,0.2,0.2,272,108,20,432.0,TPU,86,Grid,1,Tree,Basarili,1
Bambu Lab P1S,0.4,0.2,235,62,55,391.0,ASA,48,Grid,0,Yok,Basarili,1
X-Plus,0.4,0.2,235,48,35,285.0,Recine_UV,57,Lightning,1,Tree,Basarili,1
Ender-3 V3 KE,0.4,0.16,206,72,44,213.0,Recine_UV,90,Grid,1,Yok,Basarili,1
Creality K1C,0.4,0.08,255,74,37,152.0,ABS,72,Grid,0,Tree,Basarili,1
Creality K1C,0.8,0.08,194,89,53,110.0,ASA,64,Lightning,1,Normal,Basarili,1
Bambu Lab A1 Mini Combo,0.4,0.2,243,63,57,197.0,PLA,27,Lightning,0,Yok,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.12,205,63,22,338.0,TPU,65,Cubic,0,Yok,Tikanma (Yetersiz Akis),0
Kobra 3 Combo,0.4,0.2,270,58,39,276.0,ASA,11,Cubic,1,Yok,Warping (Kasa Acik),0
Ender-3 V3 KE,0.4,0.16,196,78,38,226.0,ASA,48,Grid,1,Tree,Warping (Kasa Acik),0
Creality K1 Max,0.4,0.28,197,100,32,282.0,PLA,59,Cubic,0,Yok,Basarili,1
Bambu Lab A1 Mini,0.4,0.16,261,64,36,205.0,ASA,79,Gyroid,0,Yok,Warping (Kasa Acik),0
Ender-3 V2,0.4,0.12,276,64,33,73.0,TPU,43,Gyroid,0,Yok,Basarili,1
Bambu Lab A1 Mini,0.4,0.2,271,66,49,,PETG,63,Grid,1,Yok,Basarili,1
Bambu Lab P1S,0.4,0.08,227,71,41,341.0,PETG,9,Cubic,1,Yok,Basarili,1
X-One,0.4,0.2,243,50,48,259.0,ABS,46,Grid,0,Yok,Warping (Kasa Acik),0
Bambu Lab P1S Combo,0.6,0.12,265,108,21,71.0,PLA,93,Cubic,0,Tree,Basarili,1
Bambu Lab X1 Carbon,0.4,0.08,204,72,27,439.0,ABS,96,Lightning,1,Normal,Tikanma (Yetersiz Akis),0
Elegoo Neptune 4 Pro,0.4,0.16,239,58,33,296.0,PETG,18,Lightning,0,Tree,Basarili,1
Bambu Lab X1 Carbon,0.6,0.28,245,55,53,272.0,PLA,31,Lightning,0,Normal,Basarili,1
Creality K1 Max,0.4,0.28,198,50,32,254.0,ASA,20,Lightning,0,Yok,Basarili,1
Bambu Lab P1S,0.2,0.2,197,114,29,281.0,ASA,95,Grid,0,Tree,Basarili,1
Bambu Lab P1S Combo,0.6,0.16,208,113,27,284.0,TPU,6,Grid,1,Yok,Basarili,1
Bambu Lab P1S Combo,0.4,0.12,240,108,26,59.0,Recine_UV,23,Grid,1,Yok,Basarili,1
Bambu Lab A1,0.4,0.28,261,94,32,249.0,PETG,27,Gyroid,0,Yok,Basarili,1
Bambu Lab A1 Mini Combo,0.6,0.16,246,64,45,249.0,ASA,45,Lightning,1,Normal,Warping (Kasa Acik),0
Bambu Lab P1S,0.6,0.2,257,73,51,111.0,PLA,18,Lightning,0,Yok,Basarili,1
Ender-3 V3 KE,0.8,0.08,220,51,38,201.0,Recine_UV,51,Lightning,1,Tree,Basarili,1
Creality K1C,0.4,0.2,192,60,34,217.0,Recine_UV,67,Cubic,0,Tree,Basarili,1
Bambu Lab X1 Carbon,0.4,0.2,272,68,21,50.0,ASA,94,Cubic,1,Tree,Warping (Soguk Yatak),0
Bambu Lab X1 Carbon,0.4,0.16,232,90,56,402.0,ABS,12,Gyroid,0,Yok,Basarili,1
Bambu Lab A1 Combo,0.4,0.28,218,62,38,338.0,ABS,31,Gyroid,0,Normal,Tikanma (Yetersiz Akis),0
Original Prusa MK3S+,0.4,0.16,199,72,52,305.0,ABS,44,Cubic,1,Tree,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini,0.4,0.08,201,47,58,47.0,Recine_UV,32,Cubic,0,Yok,Basarili,1
Ender-3 V3 SE,0.8,0.16,235,81,52,314.0,ABS,72,Grid,1,Yok,Warping (Kasa Acik),0
Gemini S,0.4,0.12,219,108,20,232.0,ABS,65,Grid,0,Yok,Warping (Kasa Acik),0
Bambu Lab A1,0.4,0.2,271,80,58,350.0,Recine_UV,42,Cubic,0,Yok,Basarili,1
Creality K1 Max,0.4,0.28,277,113,47,298.0,TPU,79,Lightning,1,Tree,Basarili,1
Saturn S,0.2,0.08,221,102,36,92.0,ABS,28,Cubic,0,Normal,Hatali Malzeme (Reçine Cihazi),0
Ender-3 V2,0.2,0.2,262,53,25,339.0,TPU,32,Grid,0,Yok,Basarili,1
Ender-3 V3 KE,0.4,0.16,236,101,39,135.0,TPU,45,Gyroid,0,Tree,Basarili,1
Ender-3 V3 KE,0.2,0.12,277,114,32,343.0,ASA,22,Cubic,0,Normal,Warping (Kasa Acik),0
Adventurer 4,0.4,0.16,252,85,31,349.0,Recine_UV,53,Cubic,0,Normal,Basarili,1
Creality K1 Max,0.6,0.2,215,106,49,439.0,PLA,89,Lightning,0,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini,0.6,0.08,192,92,40,131.0,ABS,30,Gyroid,0,Yok,Warping (Kasa Acik),0
Original Prusa MK4,0.4,0.28,212,91,21,183.0,PLA,7,Lightning,0,Yok,Basarili,1
Bambu Lab X1 Carbon,0.4,0.2,264,46,37,346.0,PETG,81,Gyroid,1,Tree,Basarili,1
Ender-3 V3 SE,0.6,0.08,263,93,47,448.0,TPU,42,Lightning,0,Tree,Basarili,1
Bambu Lab P1S Combo,0.6,0.2,239,50,23,57.0,PETG,96,Gyroid,0,Yok,Basarili,1
Bambu Lab X1 Carbon,0.4,0.12,225,64,25,165.0,TPU,18,Cubic,0,Yok,Basarili,1
Creator 3,0.6,0.16,202,98,57,193.0,ABS,5,Cubic,0,Tree,Warping (Kasa Acik),0
Original Prusa MK4,0.4,0.28,218,105,28,45.0,PETG,96,Cubic,0,Yok,Basarili,1
Bambu Lab A1 Combo,0.6,0.08,227,66,39,429.0,Recine_UV,15,Grid,0,Yok,Basarili,1
Bambu Lab A1 Mini Combo,0.8,0.28,266,97,49,373.0,ASA,44,Gyroid,1,Yok,Warping (Kasa Acik),0
Bambu Lab A1 Mini,0.2,0.28,279,50,56,377.0,PETG,8,Gyroid,1,Yok,Basarili,1
Bambu Lab A1 Mini,0.6,0.28,273,94,57,375.0,TPU,38,Lightning,0,Yok,Basarili,1
Kobra S1,0.4,0.08,194,58,23,127.0,Recine_UV,69,Grid,0,Yok,Basarili,1
Method XL,0.8,0.08,209,78,57,308.0,TPU,60,Lightning,0,Normal,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Combo,0.4,0.28,267,109,32,104.0,PLA,14,Grid,0,Tree,Basarili,1
Bambu Lab A1 Combo,0.6,0.16,203,50,54,205.0,PETG,85,Lightning,1,Yok,Basarili,1
Kobra 2 Max,0.2,0.2,197,53,49,,ASA,75,Grid,1,Yok,Warping (Kasa Acik),0
Kobra S1 Combo,0.4,0.28,237,99,23,309.0,ABS,68,Lightning,0,Yok,Warping (Kasa Acik),0
Bambu Lab X1 Carbon,0.2,0.12,202,75,44,184.0,PLA,17,Lightning,1,Yok,Basarili,1
Foto 9.25,0.8,0.28,213,80,50,416.0,PETG,26,Grid,1,Normal,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini Combo,0.6,0.08,268,41,31,,PLA,60,Gyroid,0,Yok,Basarili,1
Bambu Lab A1 Mini,0.6,0.2,254,96,34,308.0,PETG,69,Lightning,0,Yok,Basarili,1
Voron 1.5,0.8,0.12,275,99,45,368.0,ABS,96,Grid,1,Tree,Warping (Kasa Acik),0
Bambu Lab P1S,0.2,0.2,223,59,29,429.0,ABS,17,Grid,0,Tree,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini Combo,0.4,0.2,240,61,31,45.0,ASA,5,Gyroid,1,Yok,Warping (Kasa Acik),0
Bambu Lab A1,0.2,0.12,192,43,41,160.0,PLA,42,Gyroid,0,Yok,Basarili,1
Creality K1 Max,0.4,0.28,279,95,59,389.0,ASA,62,Gyroid,0,Normal,Basarili,1
Anycubic Kobra 2 Pro,0.4,0.28,267,97,40,352.0,PETG,29,Gyroid,0,Yok,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.28,247,104,54,348.0,ABS,46,Lightning,0,Yok,Warping (Kasa Acik),0
Bambu Lab X1 Carbon,0.4,0.16,261,97,26,341.0,ABS,89,Lightning,0,Tree,Basarili,1
Ender-3,0.4,0.28,244,69,37,373.0,TPU,37,Cubic,1,Yok,Basarili,1
Ender-3 V3 KE,0.4,0.12,269,58,46,171.0,TPU,61,Lightning,1,Tree,Basarili,1
Ender-3 V3 SE,0.4,0.16,231,101,54,329.0,ASA,41,Cubic,1,Normal,Warping (Kasa Acik),0
X5SA,0.8,0.28,210,107,21,228.0,PLA,61,Cubic,0,Yok,Basarili,1
Bambu Lab X1 Carbon,0.6,0.16,199,83,51,248.0,PETG,66,Lightning,0,Normal,Basarili,1
Ender-3 V3 KE,0.8,0.12,246,100,34,81.0,ASA,7,Cubic,0,Normal,Warping (Kasa Acik),0
Elegoo Neptune 4 Pro,0.4,0.28,214,60,43,117.0,ABS,34,Gyroid,0,Yok,Warping (Kasa Acik),0
Neptune 4 Max,0.4,0.08,245,49,39,359.0,ABS,71,Cubic,0,Yok,Warping (Kasa Acik),0
Bambu Lab X1 Carbon,0.6,0.12,227,69,29,184.0,ABS,67,Lightning,0,Normal,Basarili,1
Original Prusa MK4,0.4,0.2,275,63,43,413.0,PETG,86,Grid,0,Normal,Basarili,1
Mega X,0.4,0.2,250,87,43,325.0,ASA,27,Lightning,0,Yok,Warping (Kasa Acik),0
Bambu Lab P1S Combo,0.4,0.12,236,94,43,210.0,PETG,76,Grid,0,Yok,Basarili,1
Ender-3 V3,0.4,0.2,243,91,59,132.0,Recine_UV,77,Grid,0,Tree,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.12,235,77,53,302.0,ABS,70,Cubic,1,Normal,Warping (Kasa Acik),0
Ender-3 V3 KE,0.4,0.08,257,106,59,62.0,TPU,65,Cubic,1,Normal,Basarili,1
Ender-3 V3 SE,0.4,0.12,193,47,30,331.0,ASA,6,Grid,0,Normal,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini Combo,0.2,0.28,255,68,45,181.0,TPU,31,Cubic,1,Yok,Basarili,1
Creality K1 Max,0.4,0.28,232,49,20,187.0,ASA,52,Gyroid,0,Tree,Warping (Soguk Yatak),0
Elegoo Neptune 4 Pro,0.6,0.16,251,108,49,155.0,ABS,67,Lightning,0,Yok,Warping (Kasa Acik),0
Bambu Lab P1S Combo,0.4,0.2,274,114,37,120.0,TPU,9,Cubic,0,Tree,Basarili,1
X5SA,0.4,0.2,274,107,45,64.0,TPU,5,Grid,1,Yok,Basarili,1
Sidewinder X3,0.6,0.12,274,88,28,154.0,ASA,26,Grid,0,Tree,Warping (Kasa Acik),0
Ender-3 V3 KE,0.4,0.2,193,97,28,133.0,Recine_UV,78,Lightning,0,Tree,Basarili,1
Creality K1C,0.2,0.28,254,74,20,344.0,Recine_UV,28,Cubic,0,Normal,Basarili,1
Voron 1.5,0.4,0.08,251,89,26,224.0,TPU,63,Cubic,0,Tree,Basarili,1
Creality K1C,0.4,0.12,279,79,35,322.0,TPU,83,Grid,0,Tree,Basarili,1
Creality K1 Max,0.4,0.2,191,51,57,194.0,ABS,54,Lightning,1,Yok,Basarili,1
Bambu Lab A1 Combo,0.6,0.28,198,55,30,,ASA,27,Grid,1,Yok,Warping (Kasa Acik),0
Creality K1 Max,0.4,0.16,246,87,44,390.0,ASA,82,Lightning,1,Normal,Warping (Soguk Yatak),0
Bambu Lab A1 Mini,0.4,0.2,234,40,48,212.0,PLA,22,Cubic,1,Tree,Basarili,1
CR-10 Mini,0.4,0.08,207,104,38,193.0,ASA,93,Cubic,0,Yok,Warping (Kasa Acik),0
Bambu Lab A1 Mini,0.4,0.08,237,61,37,53.0,ABS,26,Lightning,0,Yok,Warping (Kasa Acik),0
Ender-3 V3 SE,0.4,0.2,231,54,48,417.0,TPU,48,Grid,0,Normal,Basarili,1
Ender-3 V2,0.4,0.2,230,106,35,343.0,PLA,48,Grid,0,Yok,Basarili,1
Bambu Lab A1 Mini Combo,0.4,0.28,264,53,59,,TPU,41,Grid,0,Normal,Basarili,1
Bambu Lab P1S Combo,0.2,0.2,278,112,27,380.0,ASA,11,Lightning,1,Yok,Basarili,1
S1,0.4,0.16,279,58,53,131.0,PETG,94,Lightning,0,Normal,Basarili,1
Ender-3 V2,0.4,0.28,247,79,25,310.0,TPU,28,Grid,1,Tree,Basarili,1
Bambu Lab P1S Combo,0.6,0.12,231,43,49,261.0,Recine_UV,81,Grid,0,Yok,Basarili,1
Neptune 2,0.2,0.16,224,72,53,346.0,ASA,45,Lightning,0,Yok,Tikanma (Yetersiz Akis),0
Ender-3 V3 KE,0.4,0.28,227,82,40,349.0,Recine_UV,74,Lightning,0,Normal,Basarili,1
Bambu Lab P1S,0.4,0.28,256,76,31,434.0,ABS,89,Grid,0,Yok,Warping (Soguk Yatak),0
Ender-3 V3 KE,0.6,0.08,230,105,25,147.0,Recine_UV,75,Grid,0,Tree,Basarili,1
V400,0.4,0.28,239,66,58,370.0,ASA,22,Cubic,0,Yok,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.16,275,84,25,67.0,PLA,83,Gyroid,0,Tree,Basarili,1
Creality K1C,0.6,0.2,261,89,23,236.0,Recine_UV,76,Lightning,0,Tree,Basarili,1
Bambu Lab A1 Combo,0.6,0.16,268,102,28,239.0,PETG,64,Gyroid,1,Yok,Basarili,1
Bambu Lab P1S Combo,0.4,0.12,234,45,24,193.0,PETG,56,Lightning,0,Tree,Basarili,1
Bambu Lab X1 Carbon,0.4,0.28,260,106,29,423.0,PETG,84,Cubic,1,Yok,Basarili,1
Ender-3 V3 SE,0.6,0.28,208,106,27,109.0,Recine_UV,53,Lightning,0,Normal,Basarili,1
Bambu Lab P1S,0.8,0.28,206,98,42,199.0,ABS,71,Lightning,0,Yok,Basarili,1
Mars Pro,0.6,0.28,254,52,23,391.0,PETG,49,Gyroid,1,Yok,Hatali Malzeme (Reçine Cihazi),0
Bambu Lab A1,0.4,0.08,266,60,56,435.0,TPU,13,Cubic,1,Normal,Basarili,1
H2D Laser AMS Combo,0.4,0.08,245,103,26,142.0,ABS,30,Cubic,1,Yok,Warping (Kasa Acik),0
Sermoon D1 Pro,0.4,0.2,230,76,25,275.0,ASA,30,Cubic,0,Yok,Warping (Kasa Acik),0
Bambu Lab A1,0.6,0.28,231,87,34,228.0,PLA,34,Cubic,0,Yok,Basarili,1
Bambu Lab A1,0.4,0.12,195,95,54,382.0,ABS,31,Lightning,0,Normal,Tikanma (Yetersiz Akis),0
Ender-3 V3 KE,0.4,0.2,258,83,51,400.0,PLA,84,Gyroid,0,Yok,Basarili,1
Ender-3 V2,0.6,0.28,264,52,33,,ABS,8,Cubic,1,Yok,Warping (Kasa Acik),0
Mars 2,0.4,0.08,262,43,54,376.0,ASA,55,Grid,0,Normal,Hatali Malzeme (Reçine Cihazi),0
Bambu Lab P1S Combo,0.6,0.12,229,112,30,340.0,PLA,87,Cubic,0,Yok,Basarili,1
Photon M3 Premium,0.4,0.2,230,72,29,407.0,ABS,74,Gyroid,0,Yok,Hatali Malzeme (Reçine Cihazi),0
Bambu Lab A1,0.4,0.12,198,76,36,294.0,PLA,83,Gyroid,1,Normal,Basarili,1
Photon D2,0.4,0.28,197,92,32,355.0,PETG,14,Gyroid,0,Normal,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini,0.6,0.16,233,63,53,232.0,PETG,40,Gyroid,1,Normal,Basarili,1
SV07 Plus,0.4,0.12,247,90,24,110.0,Recine_UV,50,Grid,0,Normal,Basarili,1
Creality K1 Max,0.4,0.12,256,80,29,308.0,PETG,10,Cubic,1,Yok,Basarili,1
Kobra 3,0.8,0.08,202,68,51,373.0,TPU,74,Lightning,0,Normal,Tikanma (Yetersiz Akis),0
Bambu Lab A1,0.4,0.28,208,98,31,248.0,PETG,83,Lightning,1,Yok,Basarili,1
Original Prusa MK4,0.4,0.12,238,79,32,215.0,PETG,97,Grid,0,Yok,Basarili,1
Ender-3 V3 KE,0.4,0.28,269,90,40,278.0,ASA,93,Cubic,1,Yok,Warping (Kasa Acik),0
Original Prusa MK4,0.4,0.08,271,89,52,420.0,PLA,87,Cubic,0,Tree,Basarili,1
Ender-3 V2,0.4,0.28,267,75,51,137.0,PLA,82,Lightning,0,Normal,Basarili,1
Ender-3 V3 KE,0.4,0.08,219,99,31,386.0,PETG,7,Grid,0,Tree,Basarili,1
Creality K1C,0.4,0.08,255,57,54,128.0,PLA,54,Lightning,1,Tree,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.2,266,59,55,291.0,ABS,46,Grid,0,Tree,Warping (Kasa Acik),0
Bambu Lab A1 Mini,0.4,0.28,248,44,57,,Recine_UV,82,Gyroid,0,Yok,Basarili,1
Creality K1C,0.4,0.16,242,57,47,,PETG,58,Cubic,0,Normal,Basarili,1
Bambu Lab P1S Combo,0.4,0.2,241,79,32,365.0,Recine_UV,43,Cubic,0,Yok,Basarili,1
Ultimaker S3,0.4,0.08,270,40,31,193.0,PETG,89,Cubic,0,Normal,Basarili,1
Original Prusa MK2S,0.4,0.16,220,58,41,334.0,TPU,59,Cubic,0,Yok,Tikanma (Yetersiz Akis),0
Original Prusa MK4,0.4,0.12,204,65,21,322.0,Recine_UV,15,Cubic,0,Yok,Tikanma (Yetersiz Akis),0
Anycubic Kobra 2 Pro,0.4,0.12,209,68,48,335.0,ABS,78,Cubic,0,Tree,Tikanma (Yetersiz Akis),0
Ender-3 V2,0.6,0.2,194,98,32,418.0,PETG,83,Gyroid,0,Tree,Basarili,1
SV01 Pro,0.4,0.16,196,102,54,70.0,PETG,34,Cubic,0,Normal,Basarili,1
Ender-3 V3 SE,0.8,0.28,207,101,32,170.0,PLA,85,Gyroid,0,Yok,Basarili,1
Creality K1 Max,0.8,0.16,245,87,53,255.0,PETG,60,Cubic,0,Tree,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.2,264,101,38,54.0,Recine_UV,33,Cubic,0,Yok,Basarili,1
Mega S,0.4,0.28,279,57,28,365.0,Recine_UV,21,Grid,1,Tree,Basarili,1
Ender-3 V2,0.4,0.28,234,105,50,306.0,PETG,37,Cubic,0,Tree,Basarili,1
Bambu Lab A1 Combo,0.6,0.12,217,66,52,325.0,PETG,25,Lightning,1,Normal,Basarili,1
Ender-5,0.4,0.16,239,45,46,330.0,PETG,82,Grid,0,Normal,Basarili,1
CR-5 Pro,0.2,0.28,191,109,21,407.0,TPU,14,Grid,1,Tree,Basarili,1
Creality K1C,0.4,0.2,273,98,34,82.0,ABS,91,Grid,0,Normal,Basarili,1
Bambu Lab A1,0.6,0.12,257,45,38,207.0,Recine_UV,43,Lightning,0,Yok,Basarili,1
Ender-3 V2,0.6,0.28,266,70,50,388.0,TPU,82,Gyroid,0,Normal,Basarili,1
Bambu Lab A1 Mini Combo,0.4,0.16,213,95,35,294.0,PLA,51,Grid,1,Yok,Basarili,1
Ender-3 V3 KE,0.4,0.12,237,93,34,209.0,ASA,90,Grid,0,Tree,Warping (Kasa Acik),0
Creality K1 Max,0.4,0.16,234,80,25,414.0,PETG,56,Grid,0,Normal,Basarili,1
Original Prusa MK4,0.4,0.16,247,57,33,298.0,Recine_UV,45,Cubic,0,Yok,Basarili,1
Bambu Lab P1S,0.6,0.16,225,62,46,385.0,PLA,96,Gyroid,1,Tree,Basarili,1
Ender-3 V2,0.4,0.12,191,75,57,117.0,Recine_UV,51,Lightning,1,Yok,Basarili,1
Creality K1 Max,0.4,0.28,207,64,38,378.0,ASA,77,Lightning,0,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab X1 Carbon,0.2,0.08,238,46,56,124.0,PETG,91,Gyroid,1,Yok,Basarili,1
Original Prusa MK4,0.6,0.28,197,59,23,,Recine_UV,75,Gyroid,0,Yok,Basarili,1
Ender-3 V3 SE,0.6,0.12,247,44,45,188.0,PETG,92,Gyroid,1,Yok,Basarili,1
Bambu Lab A1 Mini Combo,0.4,0.08,204,57,28,240.0,ASA,47,Cubic,0,Yok,Basarili,1
Creality K1C,0.6,0.08,206,72,59,116.0,TPU,41,Grid,0,Yok,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.08,212,74,34,,ASA,77,Cubic,0,Yok,Tikanma (Yetersiz Akis),0
Ender-3 V3 SE,0.4,0.2,255,104,56,289.0,ASA,68,Gyroid,1,Yok,Warping (Kasa Acik),0
Ender-3 V3 KE,0.4,0.12,259,102,23,92.0,Recine_UV,75,Cubic,1,Normal,Basarili,1
Ender-3 V3 KE,0.2,0.2,216,111,45,339.0,ABS,64,Lightning,1,Normal,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Combo,0.4,0.08,226,110,37,341.0,PETG,91,Cubic,0,Yok,Basarili,1
Bambu Lab A1 Combo,0.8,0.2,238,80,54,332.0,Recine_UV,29,Gyroid,0,Tree,Basarili,1
Bambu Lab X1 Carbon,0.2,0.2,253,89,48,333.0,PETG,26,Grid,0,Yok,Basarili,1
Adventurer 4 Pro,0.4,0.12,223,69,43,148.0,TPU,47,Cubic,1,Normal,Basarili,1
Bambu Lab P1S,0.4,0.16,207,77,23,404.0,TPU,75,Gyroid,1,Tree,Basarili,1
Bambu Lab P1S,0.4,0.2,253,74,40,127.0,ABS,74,Cubic,0,Yok,Warping (Soguk Yatak),0
HALOT-Lite,0.8,0.2,263,105,58,205.0,ABS,40,Lightning,0,Yok,Hatali Malzeme (Reçine Cihazi),0
Bambu Lab P1S,0.4,0.08,233,85,26,306.0,ABS,50,Cubic,1,Normal,Warping (Soguk Yatak),0
X-One2,0.4,0.08,206,47,42,132.0,TPU,26,Cubic,0,Yok,Basarili,1
Bambu Lab A1 Combo,0.6,0.08,248,107,59,212.0,ASA,39,Grid,0,Yok,Warping (Kasa Acik),0
Creality K1C,0.4,0.28,202,76,40,103.0,Recine_UV,51,Cubic,0,Tree,Basarili,1
Bambu Lab A1,0.4,0.2,241,52,20,165.0,PETG,37,Cubic,0,Normal,Basarili,1
Bambu Lab A1,0.4,0.08,249,112,44,,PETG,89,Lightning,1,Yok,Basarili,1
Ender-3 V3 SE,0.4,0.12,231,84,50,269.0,Recine_UV,79,Lightning,1,Tree,Basarili,1
Mega X,0.8,0.28,253,68,57,144.0,PLA,17,Lightning,0,Tree,Basarili,1
Moore 1,0.6,0.16,255,80,24,248.0,TPU,60,Grid,0,Yok,Basarili,1
Bambu Lab A1 Combo,0.4,0.2,223,95,50,101.0,TPU,71,Lightning,0,Yok,Basarili,1
Elegoo Neptune 4 Pro,0.6,0.2,276,55,20,279.0,ABS,17,Lightning,1,Normal,Warping (Kasa Acik),0
Bambu Lab A1,0.4,0.12,260,51,49,100.0,Recine_UV,54,Cubic,0,Yok,Basarili,1
SR,0.2,0.16,253,105,37,385.0,PLA,61,Cubic,0,Normal,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.16,222,101,27,51.0,PLA,32,Grid,1,Yok,Basarili,1
Bambu Lab P1S Combo,0.4,0.28,201,58,45,176.0,TPU,91,Lightning,1,Yok,Basarili,1
Creality K1 Max,0.4,0.2,265,69,59,234.0,ABS,92,Gyroid,1,Yok,Basarili,1
Creality K1 Max,0.4,0.08,208,55,34,113.0,PETG,69,Cubic,1,Tree,Basarili,1
Bambu Lab P1S,0.8,0.12,198,52,38,402.0,ABS,28,Gyroid,0,Tree,Tikanma (Yetersiz Akis),0
Guider 3,0.4,0.12,263,108,29,425.0,PETG,71,Gyroid,1,Normal,Basarili,1
Bambu Lab A1 Combo,0.4,0.12,206,62,43,175.0,TPU,85,Lightning,0,Normal,Basarili,1
Neptune 4 Max,0.2,0.12,239,101,35,411.0,ABS,11,Gyroid,0,Yok,Warping (Kasa Acik),0
Anycubic Kobra 2 Pro,0.2,0.08,228,70,50,82.0,PLA,78,Grid,0,Normal,Basarili,1
Bambu Lab X1 Carbon,0.4,0.08,230,92,35,441.0,Recine_UV,87,Grid,0,Yok,Basarili,1
RMF500,0.4,0.28,199,56,35,78.0,ASA,28,Cubic,0,Normal,Warping (Kasa Acik),0
Anycubic Kobra 2 Pro,0.6,0.2,201,88,47,70.0,PLA,13,Gyroid,1,Tree,Basarili,1
Creality K1 Max,0.4,0.08,268,88,39,181.0,Recine_UV,19,Grid,0,Yok,Basarili,1
Bambu Lab A1 Mini Combo,0.2,0.28,204,106,54,359.0,PETG,60,Grid,1,Normal,Tikanma (Yetersiz Akis),0
Creality K1C,0.4,0.16,217,65,28,398.0,TPU,90,Gyroid,0,Normal,Tikanma (Yetersiz Akis),0
Genius Pro,0.4,0.2,193,52,59,392.0,ABS,21,Grid,0,Yok,Tikanma (Yetersiz Akis),0
Anycubic Kobra 2 Pro,0.2,0.08,225,77,29,83.0,TPU,23,Gyroid,0,Normal,Basarili,1
Creality K1 Max,0.6,0.16,254,61,37,227.0,TPU,13,Grid,1,Normal,Basarili,1
Neptune 2,0.4,0.28,236,68,34,392.0,PETG,68,Gyroid,0,Tree,Basarili,1
Bambu Lab A1,0.4,0.08,270,84,49,41.0,TPU,61,Grid,1,Yok,Basarili,1
Anycubic Kobra 2 Pro,0.4,0.08,228,85,51,331.0,ABS,42,Grid,1,Yok,Warping (Kasa Acik),0
Bambu Lab X1 Carbon,0.4,0.16,227,78,59,350.0,PLA,87,Grid,1,Tree,Basarili,1
Bambu Lab A1 Mini,0.4,0.08,233,108,46,409.0,TPU,12,Lightning,0,Normal,Basarili,1
Original Prusa MK4,0.6,0.12,240,107,46,382.0,ABS,10,Lightning,0,Normal,Warping (Kasa Acik),0
LD-006,0.4,0.08,274,78,38,,ABS,53,Grid,1,Yok,Hatali Malzeme (Reçine Cihazi),0
Ender-3 V3 KE,0.6,0.2,215,59,29,,PETG,49,Lightning,0,Yok,Basarili,1
Bambu Lab X1 Carbon,0.4,0.16,225,107,25,,TPU,25,Gyroid,0,Tree,Basarili,1
Bambu Lab X1 Carbon,0.6,0.2,258,74,43,335.0,PETG,97,Lightning,0,Yok,Basarili,1
Photon Mono X,0.4,0.28,190,47,28,63.0,PLA,38,Cubic,1,Tree,Hatali Malzeme (Reçine Cihazi),0
Bambu Lab P1S,0.4,0.2,242,91,46,412.0,PLA,16,Cubic,0,Yok,Basarili,1
Original Prusa MK4,0.4,0.12,195,79,26,143.0,Recine_UV,43,Grid,0,Yok,Basarili,1
Bambu Lab A1 Mini Combo,0.8,0.12,226,75,25,101.0,ABS,10,Lightning,0,Yok,Warping (Kasa Acik),0
M1 Pro,0.4,0.2,191,45,52,192.0,TPU,85,Cubic,1,Normal,Basarili,1
